Failed to mmap 2M pages for DSA allocator, try to mmap 4K pages
There are a total of 1 device
device : dsa0
·>  wq0.0, shared, group 0
·>  engine0.0, group 0
·>  engine0.1, group 0
·>  engine0.2, group 0
·>  engine0.3, group 0

DSA configures:
+  Recycle window enable, window len = 25
-  In-batch pipeline disable
-  Write address 64Byte alignment disable - without cache control
+  Contiguous allocation enable(enable huge-page)
-  Touch pages if frequent PF disable
FLAGS: -BOF -CC -DRDBK 
method = batch32, op = memcpy, array_len = 4GB
transfer_size =   64 B | do_time =  0.04 us | do_speed =  1368 MB/s | REPEAT = 10
transfer_size =  128 B | do_time =  0.04 us | do_speed =  2881 MB/s | REPEAT = 10
transfer_size =  256 B | do_time =  0.04 us | do_speed =  6155 MB/s | REPEAT = 10
transfer_size =  512 B | do_time =  0.03 us | do_speed = 17290 MB/s | REPEAT = 10
transfer_size =    1KB | do_time =  0.04 us | do_speed = 24159 MB/s | REPEAT = 10
transfer_size =    2KB | do_time =  0.07 us | do_speed = 26917 MB/s | REPEAT = 10
transfer_size =    4KB | do_time =  0.14 us | do_speed = 28546 MB/s | REPEAT = 10
transfer_size =    8KB | do_time =  0.27 us | do_speed = 29425 MB/s | REPEAT = 10
transfer_size =   16KB | do_time =  0.52 us | do_speed = 29795 MB/s | REPEAT = 10
transfer_size =   32KB | do_time =  1.05 us | do_speed = 29853 MB/s | REPEAT = 10
transfer_size =   64KB | do_time =  2.09 us | do_speed = 29884 MB/s | REPEAT = 10
transfer_size =  128KB | do_time =  4.18 us | do_speed = 29907 MB/s | REPEAT = 10
transfer_size =  256KB | do_time =  8.36 us | do_speed = 29914 MB/s | REPEAT = 10
transfer_size =  512KB | do_time = 16.72 us | do_speed = 29913 MB/s | REPEAT = 10
transfer_size =    1MB | do_time = 33.43 us | do_speed = 29915 MB/s | REPEAT = 10
DSAbatch: to_cpu = 0, to_dsa = 1476349952, align_sum = 0
DSAbatch_task: batch_capacity = 80 , batch_siz = 32
             : op_cnt = 1476349952 , op_bytes = 708669603840
             : page_fault_resolving = 0 , batch_fail_cnt = 0
             : wq = wq0.0, allocator used = 0.242 MB
CPU: transfer_size =   64 B | do_time =  0.01 us | do_speed =  5872 MB/s | REPEAT = 10
CPU: transfer_size =  128 B | do_time =  0.02 us | do_speed =  5651 MB/s | REPEAT = 10
CPU: transfer_size =  256 B | do_time =  0.03 us | do_speed =  6998 MB/s | REPEAT = 10
CPU: transfer_size =  512 B | do_time =  0.07 us | do_speed =  7259 MB/s | REPEAT = 10
CPU: transfer_size =    1KB | do_time =  0.19 us | do_speed =  5137 MB/s | REPEAT = 10
CPU: transfer_size =    2KB | do_time =  0.34 us | do_speed =  5735 MB/s | REPEAT = 10
CPU: transfer_size =    4KB | do_time =  0.44 us | do_speed =  8855 MB/s | REPEAT = 10
CPU: transfer_size =    8KB | do_time =  0.88 us | do_speed =  8862 MB/s | REPEAT = 10
CPU: transfer_size =   16KB | do_time =  1.68 us | do_speed =  9319 MB/s | REPEAT = 10
