There are a total of 1 device
device : dsa0
·>  wq0.0, shared, group 0
·>  engine0.0, group 0

DSA configures:
-  Recycle window disable
-  In-batch pipeline disable
-  Write address 64Byte alignment disable - without cache control
-  Contiguous allocation disable
-  Touch pages if frequent PF disable
FLAGS: -BOF -CC -DRDBK 
method = DSA_batch, op = memfill, desc_cnt = 50000, array_len = 4GB, alignment = 8 bytes
src_arr @ 0x7fb7590ff558 , dest_arr @ 0x7fb658ffd558
transfer_size =   64 B | do_time =  0.76 us | do_speed =    81 MB/s | REPEAT = 10
transfer_size =  128 B | do_time =  0.77 us | do_speed =   160 MB/s | REPEAT = 10
transfer_size =  256 B | do_time =  0.76 us | do_speed =   319 MB/s | REPEAT = 10
transfer_size =  512 B | do_time =  0.77 us | do_speed =   636 MB/s | REPEAT = 10
transfer_size =    1KB | do_time =  0.78 us | do_speed =  1257 MB/s | REPEAT = 10
transfer_size =    2KB | do_time =  0.80 us | do_speed =  2441 MB/s | REPEAT = 10
transfer_size =    4KB | do_time =  0.83 us | do_speed =  4689 MB/s | REPEAT = 10
transfer_size =    8KB | do_time =  0.91 us | do_speed =  8576 MB/s | REPEAT = 10
transfer_size =   16KB | do_time =  1.05 us | do_speed = 14890 MB/s | REPEAT = 10
transfer_size =   32KB | do_time =  1.31 us | do_speed = 23826 MB/s | REPEAT = 10
transfer_size =   64KB | do_time =  2.28 us | do_speed = 27387 MB/s | REPEAT = 10
transfer_size =  128KB | do_time =  4.34 us | do_speed = 28811 MB/s | REPEAT = 10
transfer_size =  256KB | do_time =  8.45 us | do_speed = 29582 MB/s | REPEAT = 10
transfer_size =  512KB | do_time = 16.67 us | do_speed = 30000 MB/s | REPEAT = 10
transfer_size =    1MB | do_time = 33.09 us | do_speed = 30219 MB/s | REPEAT = 10

method = DSA_batch, op = memfill, desc_cnt = 50000, array_len = 4GB, alignment = 16 bytes
src_arr @ 0x7fb7590ff550 , dest_arr @ 0x7fb658ffd550
transfer_size =   64 B | do_time =  0.76 us | do_speed =    81 MB/s | REPEAT = 10
transfer_size =  128 B | do_time =  0.77 us | do_speed =   159 MB/s | REPEAT = 10
transfer_size =  256 B | do_time =  0.76 us | do_speed =   319 MB/s | REPEAT = 10
transfer_size =  512 B | do_time =  0.77 us | do_speed =   635 MB/s | REPEAT = 10
transfer_size =    1KB | do_time =  0.78 us | do_speed =  1258 MB/s | REPEAT = 10
transfer_size =    2KB | do_time =  0.80 us | do_speed =  2443 MB/s | REPEAT = 10
transfer_size =    4KB | do_time =  0.83 us | do_speed =  4688 MB/s | REPEAT = 10
transfer_size =    8KB | do_time =  0.91 us | do_speed =  8613 MB/s | REPEAT = 10
transfer_size =   16KB | do_time =  1.05 us | do_speed = 14918 MB/s | REPEAT = 10
transfer_size =   32KB | do_time =  1.31 us | do_speed = 23931 MB/s | REPEAT = 10
transfer_size =   64KB | do_time =  2.27 us | do_speed = 27476 MB/s | REPEAT = 10
transfer_size =  128KB | do_time =  4.33 us | do_speed = 28877 MB/s | REPEAT = 10
transfer_size =  256KB | do_time =  8.44 us | do_speed = 29618 MB/s | REPEAT = 10
transfer_size =  512KB | do_time = 16.66 us | do_speed = 30020 MB/s | REPEAT = 10
transfer_size =    1MB | do_time = 33.08 us | do_speed = 30231 MB/s | REPEAT = 10

method = DSA_batch, op = memfill, desc_cnt = 50000, array_len = 4GB, alignment = 32 bytes
src_arr @ 0x7fb7590ff560 , dest_arr @ 0x7fb658ffd560
transfer_size =   64 B | do_time =  0.38 us | do_speed =   161 MB/s | REPEAT = 10
transfer_size =  128 B | do_time =  0.38 us | do_speed =   320 MB/s | REPEAT = 10
transfer_size =  256 B | do_time =  0.38 us | do_speed =   635 MB/s | REPEAT = 10
transfer_size =  512 B | do_time =  0.39 us | do_speed =  1260 MB/s | REPEAT = 10
transfer_size =    1KB | do_time =  0.40 us | do_speed =  2457 MB/s | REPEAT = 10
transfer_size =    2KB | do_time =  0.42 us | do_speed =  4679 MB/s | REPEAT = 10
