There are a total of 1 device
device : dsa0
·>  wq0.0, shared, group 0
·>  engine0.0, group 0

DSA configures:
-  Recycle window disable
-  In-batch pipeline disable
-  Write address 64Byte alignment disable - without cache control
-  Contiguous allocation disable
-  Touch pages if frequent PF disable
FLAGS: -BOF -CC -DRDBK 
method = DSA_memcpy*32, op = memfill, desc_cnt = 50000, array_len = 4GB, alignment = 8 bytes
src_arr @ 0x7f1b80aff558 , dest_arr @ 0x7f1a809fd558
transfer_size =   64 B | do_time =  0.68 us | do_speed =    89 MB/s | REPEAT = 10
transfer_size =  128 B | do_time =  0.69 us | do_speed =   177 MB/s | REPEAT = 10
transfer_size =  256 B | do_time =  0.69 us | do_speed =   354 MB/s | REPEAT = 10
transfer_size =  512 B | do_time =  0.69 us | do_speed =   708 MB/s | REPEAT = 10
transfer_size =    1KB | do_time =  0.70 us | do_speed =  1395 MB/s | REPEAT = 10
transfer_size =    2KB | do_time =  0.72 us | do_speed =  2729 MB/s | REPEAT = 10
transfer_size =    4KB | do_time =  0.75 us | do_speed =  5229 MB/s | REPEAT = 10
transfer_size =    8KB | do_time =  0.81 us | do_speed =  9586 MB/s | REPEAT = 10
transfer_size =   16KB | do_time =  0.94 us | do_speed = 16537 MB/s | REPEAT = 10
transfer_size =   32KB | do_time =  1.18 us | do_speed = 26484 MB/s | REPEAT = 10
transfer_size =   64KB | do_time =  2.05 us | do_speed = 30455 MB/s | REPEAT = 10
transfer_size =  128KB | do_time =  3.90 us | do_speed = 32038 MB/s | REPEAT = 10
transfer_size =  256KB | do_time =  7.60 us | do_speed = 32877 MB/s | REPEAT = 10
transfer_size =  512KB | do_time = 15.00 us | do_speed = 33339 MB/s | REPEAT = 10
transfer_size =    1MB | do_time = 29.78 us | do_speed = 33579 MB/s | REPEAT = 10

method = DSA_memcpy*32, op = memfill, desc_cnt = 50000, array_len = 4GB, alignment = 16 bytes
src_arr @ 0x7f1b80aff550 , dest_arr @ 0x7f1a809fd550
transfer_size =   64 B | do_time =  0.68 us | do_speed =    90 MB/s | REPEAT = 10
transfer_size =  128 B | do_time =  0.69 us | do_speed =   177 MB/s | REPEAT = 10
transfer_size =  256 B | do_time =  0.69 us | do_speed =   355 MB/s | REPEAT = 10
transfer_size =  512 B | do_time =  0.69 us | do_speed =   707 MB/s | REPEAT = 10
transfer_size =    1KB | do_time =  0.70 us | do_speed =  1394 MB/s | REPEAT = 10
transfer_size =    2KB | do_time =  0.72 us | do_speed =  2731 MB/s | REPEAT = 10
transfer_size =    4KB | do_time =  0.75 us | do_speed =  5235 MB/s | REPEAT = 10
transfer_size =    8KB | do_time =  0.82 us | do_speed =  9586 MB/s | REPEAT = 10
transfer_size =   16KB | do_time =  0.94 us | do_speed = 16616 MB/s | REPEAT = 10
transfer_size =   32KB | do_time =  1.17 us | do_speed = 26607 MB/s | REPEAT = 10
