There are a total of 1 device
device : dsa0
·>  wq0.0, shared, group 0
·>  engine0.0, group 0

DSA configures:
-  Recycle window disable
-  In-batch pipeline disable
-  Write address 64Byte alignment disable - without cache control
-  Contiguous allocation disable
-  Touch pages if frequent PF disable
FLAGS: -BOF -CC -DRDBK 
method = DSA_single, op = compare, desc_cnt = 50000, array_len = 4GB, alignment = 8 bytes
src_arr @ 0x7f78ad2ff558 , dest_arr @ 0x7f77ad1fd558
transfer_size =   64 B | do_time =  0.75 us | do_speed =    82 MB/s | REPEAT = 10
transfer_size =  128 B | do_time =  0.77 us | do_speed =   158 MB/s | REPEAT = 10
transfer_size =  256 B | do_time =  0.79 us | do_speed =   307 MB/s | REPEAT = 10
transfer_size =  512 B | do_time =  0.85 us | do_speed =   575 MB/s | REPEAT = 10
transfer_size =    1KB | do_time =  0.92 us | do_speed =  1058 MB/s | REPEAT = 10
transfer_size =    2KB | do_time =  1.06 us | do_speed =  1847 MB/s | REPEAT = 10
transfer_size =    4KB | do_time =  1.16 us | do_speed =  3378 MB/s | REPEAT = 10
transfer_size =    8KB | do_time =  1.43 us | do_speed =  5462 MB/s | REPEAT = 10
transfer_size =   16KB | do_time =  1.98 us | do_speed =  7876 MB/s | REPEAT = 10
transfer_size =   32KB | do_time =  3.09 us | do_speed = 10117 MB/s | REPEAT = 10
transfer_size =   64KB | do_time =  5.19 us | do_speed = 12048 MB/s | REPEAT = 10
transfer_size =  128KB | do_time =  9.32 us | do_speed = 13413 MB/s | REPEAT = 10
transfer_size =  256KB | do_time = 17.52 us | do_speed = 14266 MB/s | REPEAT = 10
transfer_size =  512KB | do_time = 34.06 us | do_speed = 14680 MB/s | REPEAT = 10
transfer_size =    1MB | do_time = 67.13 us | do_speed = 14897 MB/s | REPEAT = 10

method = DSA_single, op = compare, desc_cnt = 50000, array_len = 4GB, alignment = 16 bytes
src_arr @ 0x7f78ad2ff550 , dest_arr @ 0x7f77ad1fd550
transfer_size =   64 B | do_time =  0.76 us | do_speed =    80 MB/s | REPEAT = 10
transfer_size =  128 B | do_time =  0.79 us | do_speed =   155 MB/s | REPEAT = 10
transfer_size =  256 B | do_time =  0.81 us | do_speed =   302 MB/s | REPEAT = 10
transfer_size =  512 B | do_time =  0.87 us | do_speed =   564 MB/s | REPEAT = 10
transfer_size =    1KB | do_time =  0.94 us | do_speed =  1034 MB/s | REPEAT = 10
