There are a total of 1 device
device : dsa0
·>  wq0.0, shared, group 0
·>  engine0.0, group 0

DSA configures:
-  Recycle window disable
-  In-batch pipeline disable
-  Write address 64Byte alignment disable - without cache control
-  Contiguous allocation disable
-  Touch pages if frequent PF disable
FLAGS: -BOF -CC -DRDBK 
method = DSA_single, op = memcpy, desc_cnt = 50000, array_len = 4GB, alignment = 8 bytes
src_arr @ 0x7f594deff558 , dest_arr @ 0x7f584ddfd558
transfer_size =   64 B | do_time =  1.15 us | do_speed =    53 MB/s | REPEAT = 10
transfer_size =  128 B | do_time =  1.16 us | do_speed =   106 MB/s | REPEAT = 10
transfer_size =  256 B | do_time =  1.18 us | do_speed =   207 MB/s | REPEAT = 10
transfer_size =  512 B | do_time =  1.14 us | do_speed =   429 MB/s | REPEAT = 10
transfer_size =    1KB | do_time =  1.14 us | do_speed =   859 MB/s | REPEAT = 10
transfer_size =    2KB | do_time =  1.18 us | do_speed =  1659 MB/s | REPEAT = 10
transfer_size =    4KB | do_time =  1.23 us | do_speed =  3173 MB/s | REPEAT = 10
transfer_size =    8KB | do_time =  1.43 us | do_speed =  5480 MB/s | REPEAT = 10
transfer_size =   16KB | do_time =  2.11 us | do_speed =  7403 MB/s | REPEAT = 10
transfer_size =   32KB | do_time =  2.72 us | do_speed = 11495 MB/s | REPEAT = 10
transfer_size =   64KB | do_time =  3.83 us | do_speed = 16319 MB/s | REPEAT = 10
transfer_size =  128KB | do_time =  6.03 us | do_speed = 20747 MB/s | REPEAT = 10
transfer_size =  256KB | do_time = 10.18 us | do_speed = 24551 MB/s | REPEAT = 10
transfer_size =  512KB | do_time = 18.57 us | do_speed = 26926 MB/s | REPEAT = 10
transfer_size =    1MB | do_time = 35.29 us | do_speed = 28336 MB/s | REPEAT = 10

method = DSA_single, op = memcpy, desc_cnt = 50000, array_len = 4GB, alignment = 16 bytes
src_arr @ 0x7f594deff550 , dest_arr @ 0x7f584ddfd550
transfer_size =   64 B | do_time =  1.17 us | do_speed =    52 MB/s | REPEAT = 10
transfer_size =  128 B | do_time =  1.17 us | do_speed =   104 MB/s | REPEAT = 10
transfer_size =  256 B | do_time =  1.19 us | do_speed =   204 MB/s | REPEAT = 10
transfer_size =  512 B | do_time =  1.15 us | do_speed =   423 MB/s | REPEAT = 10
transfer_size =    1KB | do_time =  1.15 us | do_speed =   846 MB/s | REPEAT = 10
transfer_size =    2KB | do_time =  1.19 us | do_speed =  1636 MB/s | REPEAT = 10
transfer_size =    4KB | do_time =  1.24 us | do_speed =  3143 MB/s | REPEAT = 10
transfer_size =    8KB | do_time =  1.43 us | do_speed =  5459 MB/s | REPEAT = 10
transfer_size =   16KB | do_time =  2.13 us | do_speed =  7347 MB/s | REPEAT = 10
transfer_size =   32KB | do_time =  2.73 us | do_speed = 11428 MB/s | REPEAT = 10
transfer_size =   64KB | do_time =  3.84 us | do_speed = 16283 MB/s | REPEAT = 10
transfer_size =  128KB | do_time =  6.04 us | do_speed = 20703 MB/s | REPEAT = 10
transfer_size =  256KB | do_time = 10.19 us | do_speed = 24529 MB/s | REPEAT = 10
transfer_size =  512KB | do_time = 18.58 us | do_speed = 26909 MB/s | REPEAT = 10
transfer_size =    1MB | do_time = 35.30 us | do_speed = 28327 MB/s | REPEAT = 10

method = DSA_single, op = memcpy, desc_cnt = 50000, array_len = 4GB, alignment = 32 bytes
src_arr @ 0x7f594deff560 , dest_arr @ 0x7f584ddfd560
transfer_size =   64 B | do_time =  0.79 us | do_speed =    78 MB/s | REPEAT = 10
transfer_size =  128 B | do_time =  0.81 us | do_speed =   150 MB/s | REPEAT = 10
transfer_size =  256 B | do_time =  0.85 us | do_speed =   288 MB/s | REPEAT = 10
transfer_size =  512 B | do_time =  0.91 us | do_speed =   534 MB/s | REPEAT = 10
transfer_size =    1KB | do_time =  0.97 us | do_speed =  1004 MB/s | REPEAT = 10
transfer_size =    2KB | do_time =  1.08 us | do_speed =  1815 MB/s | REPEAT = 10
transfer_size =    4KB | do_time =  1.15 us | do_speed =  3391 MB/s | REPEAT = 10
transfer_size =    8KB | do_time =  1.37 us | do_speed =  5705 MB/s | REPEAT = 10
transfer_size =   16KB | do_time =  1.83 us | do_speed =  8519 MB/s | REPEAT = 10
transfer_size =   32KB | do_time =  2.40 us | do_speed = 13014 MB/s | REPEAT = 10
transfer_size =   64KB | do_time =  3.51 us | do_speed = 17802 MB/s | REPEAT = 10
transfer_size =  128KB | do_time =  5.72 us | do_speed = 21868 MB/s | REPEAT = 10
transfer_size =  256KB | do_time =  9.91 us | do_speed = 25223 MB/s | REPEAT = 10
transfer_size =  512KB | do_time = 18.32 us | do_speed = 27298 MB/s | REPEAT = 10
transfer_size =    1MB | do_time = 35.06 us | do_speed = 28524 MB/s | REPEAT = 10

method = DSA_single, op = memcpy, desc_cnt = 50000, array_len = 4GB, alignment = 64 bytes
src_arr @ 0x7f594deff540 , dest_arr @ 0x7f584ddfd540
transfer_size =   64 B | do_time =  0.75 us | do_speed =    81 MB/s | REPEAT = 10
transfer_size =  128 B | do_time =  0.79 us | do_speed =   154 MB/s | REPEAT = 10
transfer_size =  256 B | do_time =  0.84 us | do_speed =   290 MB/s | REPEAT = 10
transfer_size =  512 B | do_time =  0.90 us | do_speed =   542 MB/s | REPEAT = 10
