There are a total of 1 device
device : dsa0
·>  wq0.0, shared, group 0
·>  engine0.0, group 0

DSA configures:
-  Recycle window disable
-  In-batch pipeline disable
-  Write address 64Byte alignment disable - without cache control
-  Contiguous allocation disable
-  Touch pages if frequent PF disable
FLAGS: -BOF -CC -DRDBK 
method = DSA_single, op = memfill, desc_cnt = 50000, array_len = 4GB, alignment = 8 bytes
src_arr @ 0x7f80f72ff558 , dest_arr @ 0x7f7ff71fd558
transfer_size =   64 B | do_time =  0.87 us | do_speed =    70 MB/s | REPEAT = 10
transfer_size =  128 B | do_time =  0.88 us | do_speed =   139 MB/s | REPEAT = 10
transfer_size =  256 B | do_time =  0.88 us | do_speed =   278 MB/s | REPEAT = 10
transfer_size =  512 B | do_time =  0.88 us | do_speed =   553 MB/s | REPEAT = 10
transfer_size =    1KB | do_time =  0.90 us | do_speed =  1089 MB/s | REPEAT = 10
transfer_size =    2KB | do_time =  0.93 us | do_speed =  2099 MB/s | REPEAT = 10
transfer_size =    4KB | do_time =  0.99 us | do_speed =  3943 MB/s | REPEAT = 10
transfer_size =    8KB | do_time =  1.05 us | do_speed =  7409 MB/s | REPEAT = 10
transfer_size =   16KB | do_time =  1.22 us | do_speed = 12798 MB/s | REPEAT = 10
transfer_size =   32KB | do_time =  1.71 us | do_speed = 18262 MB/s | REPEAT = 10
transfer_size =   64KB | do_time =  2.76 us | do_speed = 22639 MB/s | REPEAT = 10
transfer_size =  128KB | do_time =  4.83 us | do_speed = 25872 MB/s | REPEAT = 10
transfer_size =  256KB | do_time =  8.96 us | do_speed = 27917 MB/s | REPEAT = 10
transfer_size =  512KB | do_time = 17.11 us | do_speed = 29215 MB/s | REPEAT = 10
transfer_size =    1MB | do_time = 33.58 us | do_speed = 29784 MB/s | REPEAT = 10

method = DSA_single, op = memfill, desc_cnt = 50000, array_len = 4GB, alignment = 16 bytes
src_arr @ 0x7f80f72ff550 , dest_arr @ 0x7f7ff71fd550
